sentence,artwork,person
"Truyện cổ Caunterbury là nhan đề tuyển tập 24 giai thoại trào phúng được cho là của tác giả Geoffrey Chaucer, người đã cất công sưu tầm và biên soạn ở thời kỳ 1387 - 1400.",Truyện cổ Caunterbury,Geoffrey Chaucer
Lửa trong thành phố sẩm tối là một cuốn tiểu thuyết khai thác đề tài cuộc chiến đấu của nhân dân Estonia chống lại ách chiếm đóng phát xít Đức trong Thế chiến II của nhà văn Eno Raud.,Lửa trong thành phố sẩm tối,Eno Raud
Tắt đèn là một trong những tác phẩm văn học tiêu biểu nhất của nhà văn Ngô Tất Tố.,Tắt đèn,Ngô Tất Tố
"Túp lều bác Tom, là một tiểu thuyết chống chế độ nô lệ tại Hoa Kỳ của nhà văn Harriet Beecher Stowe người Mỹ.",Túp lều bác Tom,Harriet Beecher Stowe
Thiên long bát bộ là một tiểu thuyết võ hiệp của nhà văn Kim Dung.,Thiên long bát bộ,Kim Dung
Phỏng vấn Ma cà rồng là một cuốn tiểu thuyết về ma cà rồng được Anne Rice viết vào năm 1973 và xuất bản năm 1976.,Phỏng vấn Ma cà rồng,Anne Rice
"""Âm thanh và cuồng nộ"" xuất bản năm 1929 là tác phẩm nổi tiếng của William Faulkner là một trong những bậc thầy của văn học dòng ý thức.",Âm thanh và cuồng nộ,William Faulkner
Buổi học cuối cùng là một truyện ngắn trong tuyển tập truyện Truyện kể ngày thứ hai của nhà văn Pháp Alphonse Daudet.,Buổi học cuối cùng,Alphonse Daudet
"Cupid và Psyche là một câu chuyện có nguồn gốc từ Thần thoại La Mã nhưng trở thành nổi tiếng qua tác phẩm ""Con lừa vàng"" của nhà văn La Mã Lucius Apuleius Platonicus.",Cupid và Psyche,Apuleius
Bác sĩ Jekyll và ông Hyde là một tác phẩm của Robert Louis Stevenson sáng tác năm 1886.,Bác sĩ Jekyll và ông Hyde,Robert Louis Stevenson
Bí mật của Naoko là một tiểu thuyết của nhà văn Higashino Keigo.,Bí mật của Naoko,Higashino Keigo
U mộng ảnh là tên một tập sách nổi tiếng của nhà văn Trương Triều đời Thanh.,U mộng ảnh,Trương Triều
"Tân Nguyên sử là một sách lịch sử theo thể kỷ truyện trong 24 sách lịch sử Trung Quốc do Kha Thiệu Văn cuối thời Thanh đầu thời Dân Quốc viết và biên soạn, tới năm 1919 thì hoàn thành, bộ Tân Nguyên sử này ra đời nhằm sửa chữa những sai sót từ bộ Nguyên sử cũ, đến năm 1921 bộ sách được Tổng thống Trung Hoa Dân Quốc Từ Thế Xương công nhận là chính sử, đổi ""Nhị thập tứ sử"" thành ""Nhị thập ngũ sử"".",Tân Nguyên sử,Kha Thiệu Văn
"Cuốn theo chiều gió, xuất bản lần đầu năm 1936, là một cuốn tiểu thuyết tình cảm của Margaret Mitchell, người đã dành giải Pulitzer với tác phẩm này năm 1937.",Cuốn theo chiều gió,Margaret Mitchell
"Ways of Seeing là series truyền hình 4 tập, mỗi tập phim khoảng 30 phút, được xây dựng chủ yếu bởi tác giả John Berger và nhà sản xuất Mike Dibb.",Ways of Seeing,John Berger
"Biểu tượng thất truyền, được viết với tên mã Chìa khóa Solomon, là tiểu thuyết xuất bản năm 2009 của tác giả người Mỹ Dan Brown.",Biểu tượng thất truyền,Dan Brown
Đảo giấu vàng là một tiểu thuyết phiêu lưu viết cho thiếu niên của nhà văn người Scotland Robert Louis Stevenson mô tả một cuộc hành trình trên biển đi tìm kho báu của bọn cướp biển chôn giấu trên đảo của nhân vật chính là cậu bé Jim Hawkin.,Đảo giấu vàng,Robert Louis Stevenson
", còn được biết đến với tên Giả kim thuật sư trong phiên bản manga Việt hóa, là một loạt manga viết và minh họa bởi Arakawa Hiromu.",Giả kim thuật sư,Arakawa Hiromu
"Báu vật của đời, nguyên tác: ""Phong nhũ phì đồn"", là một tác phẩm nổi tiếng của nhà văn Trung Quốc Mạc Ngôn.",Báu vật của đời,Mạc Ngôn
Bàn về chiến tranh là một tác phẩm lý luận quân sự về chiến tranh và chiến lược quân sự do tướng Carl von Clausewitz người nước Phổ viết.,Bàn về chiến tranh,Carl von Clausewitz
"War and Cinema: The Logistics of Perception là một cuốn sách của Paul Virilio, bàn luận về mối quan hệ giữa hình ảnh và công nghệ chiến tranh.",War and Cinema,Paul Virilio
Opticks là một cuốn sách bằng tiếng Anh của nhà triết học tự nhiên Isaac Newton xuất bản vào năm 1704.,Opticks,Isaac Newton
"Tiếng Việt giàu đẹp là tên một bộ sách tổng hợp các bài viết về bản chất, vẻ đẹp, thực trạng và cách rèn luyện tiếng Việt của nhiều tác giả và được phát hành bởi nhà xuất bản Trẻ.",Tiếng Việt giàu đẹp,Nhiều tác giả
Vụ án bí ẩn ở Styles là tiểu thuyết hình sự đầu tay của nhà văn trinh thám Anh Agatha Christie.,Vụ án bí ẩn ở Styles,Agatha Christie
"Pendragon là bộ truyện giả tưởng gồm 10 tập của nhà văn D. J. MacHale, với nhận vật chính là Bobby Pendragon, và hai người bạn thân nhất là Mark Dimond và Courtney Chetwynde, có sứ mệnh cứu vũ trụ gọi là Halla.",Pendragon,D. J. MacHale
Eugénie Grandet là một tiểu thuyết của Honoré de Balzac.,Eugénie Grandet,Honoré de Balzac
"Hậu cung Chân Huyên truyện là một tiểu thuyết chương hồi thể loại cổ trang, cung đấu của tác giả Lưu Liễm Tử, gồm 7 tập.",Hậu cung Chân Huyên truyện,Lưu Liễm Tử
"Lục Thao, còn gọi là Lược Thao, Thái công lục thao hoặc Thái công binh pháp là một tác phẩm binh pháp tương truyền do Khương Tử Nha đầu đời nhà Chu sáng tác.",Lục Thao,Khương Tử Nha
Sự sụp đổ của dòng họ Usher là một truyện ngắn tường thuật của nhà văn người Mỹ Edgar Allan Poe.,Sự sụp đổ của dòng họ Usher,Edgar Allan Poe
Chống Dühring hay tên khác là Ông Eugen Dühring đã đảo lộn khoa học là một trong những tác phẩm nổi tiếng nhất của Friedrich Engels.,Chống Dühring,Friedrich Engels
Truyện ông lão đánh cá và con cá vàng là một sử thi của Aleksandr Sergeyevich Pushkin viết vào mùa thu năm 1833.,Truyện ông lão đánh cá và con cá vàng,Aleksandr Sergeyevich Pushkin
"Đoạn trường tân thanh, thường được biết đến đơn giản là Truyện Kiều, là một truyện thơ của thi sĩ Nguyễn Du.",Truyện Kiều,Nguyễn Du
"Suối nguồn là một tiểu thuyết thuộc hàng best-seller, xuất bản năm 1943 của nhà văn nữ Ayn Rand.",Suối nguồn,Ayn Rand
"Viên Mỡ Bò là một truyện ngắn của Guy de Maupassant, được viết vào năm 1879.",Viên Mỡ Bò,Guy de Maupassant
"Hiệp khách hành là một trong những tiểu thuyết võ hiệp của Kim Dung, được phát hành trên Minh báo vào năm 1965.",Hiệp khách hành,Kim Dung
"Zarathustra đã nói như thế, với phụ đề ""Một cuốn sách dành cho mọi người và không ai cả"", là một tác phẩm của triết gia người Đức Friedrich Nietzsche, gồm có bốn phần được viết giữa năm 1883 và năm 1885.",Zarathustra đã nói như thế,Friedrich Nietzsche
"Bình Ngô đại cáo là bài cáo viết bằng văn ngôn do Nguyễn Trãi soạn thảo vào mùa xuân năm 1428, thay lời Bình Định Vương Lê Lợi để tuyên cáo về việc giành chiến thắng trong cuộc kháng chiến với nhà Minh, khẳng định sự độc lập của nước Đại Việt.",Bình Ngô đại cáo,Nguyễn Trãi
"Was es ist là một bài thơ tình của nhà thơ Áo Erich Fried, được dùng làm tựa cho tập thơ ""Es ist was es ist"", xuất bản 1983.",Was es ist,Erich Fried
Lão Hạc là một truyện ngắn của nhà văn Nam Cao được viết năm 1943.,Lão Hạc,Nam Cao
"From Dictatorship to Democracy là cuốn sách do giáo sư Gene Sharp viết cho phong trào dân chủ Miến Điện vào năm 1993, sau khi bà Aung San Suu Kyi bị cầm tù.",From Dictatorship to Democracy,Gene Sharp
Cuộc đời mới – là một tác phẩm của Dante Alighieri viết trong các năm 1283 – 1293.,Cuộc đời mới,Dante Alighieri
"Beobachtungen über das Gefühl des Schönen und Erhabenen, là một cuốn sách năm 1764 bởi Immanuel Kant.",Beobachtungen über das Gefühl des Schönen und Erhabenen,Immanuel Kant
A Peace to End All Peace là cuốn sách lịch sử của David Fromkin xuất bản năm 1989 đã lọt vào vòng chung kết giải Pulitzer.,A Peace to End All Peace,David Fromkin
"Phi hồ ngoại truyện là một trong những tiểu thuyết võ hiệp của Kim Dung, ra mắt lần đầu tiên vào năm 1960 trong tạp chí ""Võ thuật và Lịch sử""",Phi hồ ngoại truyện,Kim Dung
Lộc Đỉnh ký hay Lộc Đỉnh Công là cuốn tiểu thuyết cuối cùng của Kim Dung.,Lộc Đỉnh ký,Kim Dung
Phù Thủy xui xẻo là một bộ truyện dành cho trẻ em được viết và minh họa bởi chính tác giả Jill Murphy.,Phù thủy xui xẻo,Jill Murphy
"Mao chủ tịch ngữ lục, còn được gọi là Mao Trạch Đông ngữ lục hoặc gọi tắt là Mao ngữ lục, là sách tuyển biên một số câu nói trong trước tác của Mao Trạch Đông.",Mao chủ tịch ngữ lục,Mao Trạch Đông
Chú lính chì dũng cảm là truyện cổ tích do tác giả người Đan Mạch là Hans Christian Andersen sáng tác.,Chú lính chì dũng cảm,Hans Christian Andersen
"Gió Đông gió Tây là tiểu thuyết đầu tay của Pearl S. Buck, được xuất bản năm 1930.",Gió Đông gió Tây,Pearl S. Buck
"Đông Chu liệt quốc chí là tiểu thuyết lịch sử gồm 108 hồi được Sái Nguyên Phóng thời Thanh cải biên từ ""Tân liệt quốc chí"" khoảng trên 700.000 chữ của Phùng Mộng Long thời Minh mạt.",Đông Chu liệt quốc,Phùng Mộng Long
Bác sĩ Zhivago là tiểu thuyết nổi tiếng của nhà văn Nga–Xô viết Boris Leonidovich Pasternak.,Bác sĩ Zhivago,Boris Leonidovich Pasternak
Faar-thành phố mất tích là quyển sách thứ hai của bộ truyện Pendragon viết bởi D. J. MacHale.,Faar-thành phố mất tích,D. J. MacHale
"Bích huyết kiếm là một tiểu thuyết võ hiệp của nhà văn Kim Dung, được đăng lần đầu tiên trên Hương Cảng thương báo từ ngày 1 tháng 1 năm 1956 đến ngày 31 tháng 12 năm 1956.",Bích huyết kiếm,Kim Dung
Võ lâm ngoại sử là một cuốn tiểu thuyết của nhà văn quá cố Cổ Long.,Võ lâm ngoại sử,Cổ Long
"Kiếp Đi Ở, là một tiểu thuyết của nhà văn người Pháp Octave Mirbeau.",Kiếp đi ở,Octave Mirbeau
"Tứ quái TKKG là bộ truyện trinh thám về 1 nhóm thiếu niên 4 người bao gồm Peter Carsten, Karl Vierstein, Willi Sauerlich và Gaby Glockner của tác giả Rolf Kalmuczak, với bút danh Stefan Wolf do Nhà xuất bản Pelikan, Hannover, Đức ấn hành lần đầu tiên năm 1979.",Tứ quái TKKG,Rolf Kalmuczak
"Rita Hayworth and Shawshank Redemption là một tiểu thuyết ngắn của Stephen King, được in trong tập truyện ""Different Seasons"" với nhan đề phụ là ""Hope Springs Eternal"".",Rita Hayworth and Shawshank Redemption,Stephen King
Kiêu hãnh và định kiến là tác phẩm nổi tiếng nhất của nhà văn Anh Jane Austen.,Kiêu hãnh và định kiến,Jane Austen
"Nam Tề thư là một sách lịch sử theo thể kỷ truyện trong 24 sách lịch sử Trung Quốc do Tiêu Tử Hiển đời Lương viết và biên soạn, tên nguyên gốc là Tề thư, đến thời Tống, để phân biệt với Bắc Tề thư của Lý Bách Dược nên đổi tên thành Nam Tề thư.",Nam Tề thư,Tiêu Tử Hiển
Con buôn tử thần là tập đầu tiên bộ truyện Pendragon của nhà văn D. J. MacHale.,Con buôn tử thần,D. J. MacHale
Bức chân dung của Dorian Gray là tiểu thuyết duy nhất của nhà văn người Ireland Oscar Wilde và được in thành sách kể từ năm 1891.,Bức chân dung của Dorian Gray,Oscar Wilde
"Những người khốn khổ là tiểu thuyết của văn hào Pháp Victor Hugo, được xuất bản năm 1862.",Những người khốn khổ,Victor Hugo
Người thầy dạy đánh kiếm là một cuốn tiểu thuyết của Alexandre Dumas.,Người thầy dạy đánh kiếm,Alexandre Dumas
"Hậu Hán Thư là một trong những tác phẩm lịch sử chính thức của Trung Quốc do Phạm Diệp biên soạn vào thế kỷ thứ 5, sử dụng một số cuốn sách sử và văn bản trước đó làm nguồn thông tin.",Hậu Hán thư,Phạm Diệp
"Ngụ ngôn Aesop là tập truyện ngụ ngôn được cho là do Aesop, một nhà văn Hy Lạp cổ đại sáng tác.",Ngụ ngôn Aesop,Aesop
"Kinh Lễ hay còn gọi là Lễ ký là một quyển trong bộ Ngũ Kinh của Khổng Tử, tương truyền do các môn đệ của Khổng Tử thời Chiến quốc viết, ghi chép các lễ nghi thời trước.",Kinh Lễ,Khổng Tử
"Narratio Prima, tiêu đề chính thức là De libris revolutionum Copernici narratio prima la một bản tóm tắt lại thuyết nhật tâm của Nicolaus Copernicus được viết bởi Georg Joachim Rheticus vào năm 1540.",Narratio prima,Georg Joachim Rheticus
"Bồ câu không đưa thư là truyện dài gồm 14 chương thuộc thể loại truyện học đường của nhà văn Nguyễn Nhật Ánh, lần đầu ra mắt độc giả vào năm 1993.",Bồ câu không đưa thư,Nguyễn Nhật Ánh
"Không gia đình, còn được dịch là Vô gia đình, có thể được xem là tiểu thuyết nổi tiếng nhất của nhà văn Pháp Hector Malot, được xuất bản năm 1878.",Không gia đình,Hector Malot
Berserk là bộ manga giả tưởng đen tối do Kentaro Miura vẽ và viết kịch bản.,Berserk,Kentaro Miura
"Tu viện thành Pacmơ là một trong hai kiệt tác của Stendhal, cùng với kiệt tác kia là ""Đỏ và đen"".",Tu viện thành Pacmơ,Stendhal
Nguyên sử là một tác phẩm do Tống Liêm và một số quan lại khác phụng mệnh Minh Thái Tổ Chu Nguyên Chương biên soạn năm 1370.,Nguyên sử,Tống Liêm
"Bà Bovary là một cuốn tiểu thuyết của nhà văn Gustave Flaubert, được đánh giá là trau chuốt về nghệ thuật và hình thức.",Bà Bovary,Gustave Flaubert
"Chuỗi án mạng A.B.C là một tác phẩm truyện hư cấu trinh thám của nhà văn Anh Agatha Christie, với các nhân vật Hercule Poirot, Arthur Hastings và Chief Inspector Japp, khi họ đấu tranh với một loạt vụ giết người bởi một kẻ giết người bí ẩn chỉ được biết đến với cái tên ""A.B.C"".",Chuỗi án mạng A.B.C,Agatha Christie
Luận về sự hiểu biết của con người là tác phẩm của John Locke về nền tảng hiểu biết và kiến thức của con người.,Luận về sự hiểu biết của con người,John Locke
Những cuộc phiêu lưu của Huckleberry Finn là tiểu thuyết được xuất bản năm 1884 của nhà văn Mỹ Mark Twain.,Những cuộc phiêu lưu của Huckleberry Finn,Mark Twain
"Makamisa là một cuốn tiểu thuyết chưa được hoàn thành của nhà văn, nhà yêu nước José Rizal.",Makamisa,José Rizal
Học viện của Ngài Kleks là một cuốn truyện hài hước dành cho trẻ em của nhà văn Jan Brzechwa.,Học viện của Ngài Kleks,Jan Brzechwa
"Bí mật của Nicholas Flamel bất tử là bộ tiểu thuyết kỳ ảo dài sáu tập được sáng tác bởi nhà văn người Ireland Michael Scott, hoàn tất vào năm 2012.",Bí mật của Nicholas Flamel bất tử,Michael Scott
"Dụ chư tỳ tướng hịch văn, thường được gọi là Hịch tướng sĩ, là bài hịch viết bằng văn ngôn của Trần Hưng Đạo viết cuối thế kỷ 13 trước cuộc chiến tranh Mông Nguyên–Đại Việt lần 2.",Hịch tướng sĩ,Trần Hưng Đạo
Đồi gió hú là tiểu thuyết duy nhất của nữ nhà văn Emily Brontë.,Đồi gió hú,Emily Brontë
Kira-kira là tiểu thuyết đoạt giải thưởng đóng góp xuất sắc nhất cho văn học thiếu nhi Mỹ năm 2005 của nữ nhà văn trẻ Cynthia Kadohata.,Kira-kira,Cynthia Kadohata
Hội chợ phù hoa : Cuốn tiểu thuyết không có Anh hùng là một cuốn tiểu thuyết của William Makepeace Thackeray châm biếm xã hội vào đầu thế kỷ 19 ở Anh.,Hội chợ phù hoa,William Makepeace Thackeray
"Những ngọn cờ trên tháp là một cuốn tiểu thuyết tâm lý giáo dục của nhà văn Anton Makarenko, ra đời năm 1938.",Những ngọn cờ trên tháp,Anton Makarenko
"Truyện Lục Vân Tiên là một tác phẩm truyện thơ Nôm nổi tiếng của Nguyễn Đình Chiểu, được sáng tác theo thể lục bát vào đầu những năm 50 của thế kỷ 19 và được Trương Vĩnh Ký cho xuất bản lần đầu tiên vào năm 1889.",Lục Vân Tiên,Nguyễn Đình Chiểu
"Khổng Ất Kỷ là tên một truyện ngắn của nhà văn Lỗ Tấn, cũng là tên nhân vật chính của truyện.",Khổng Ất Kỷ,Lỗ Tấn
Tôi Là Bêtô là tác phẩm của nhà văn chuyên viết cho thanh thiếu niên Nguyễn Nhật Ánh.,Tôi là Bêtô,Nguyễn Nhật Ánh
"Tấn thư là một sách trong 24 sách lịch sử Trung Quốc, do Phòng Huyền Linh và Lý Diên Thọ phụng mệnh Đường Thái Tông biên soạn vào năm 648.",Tấn thư,Phòng Huyền Linh
Chú vịt con xấu xí là một truyện thần kỳ dành cho trẻ em của nhà văn người Đan Mạch Hans Christian Andersen.,Chú vịt con xấu xí,Hans Christian Andersen
"Phế tích vòng tròn là một truyện ngắn kì huyễn của nhà văn và nhà thơ người Argentina Jorge Luis Borges, được đăng trên tờ báo El Sur tháng 12 năm 1940.",Phế tích vòng tròn,Jorge Luis Borges
"Giáo dục tình cảm là tiểu thuyết cuối cùng của Gustave Flaubert được xuất bản trong đời ông, và được xem là một trong những tiểu thuyết gây ảnh hưởng nhất thế kỷ 19, theo đánh giá của George Sand, Emile Zola và Henry James.",Giáo dục tình cảm,Gustave Flaubert
"Miles to Go là một cuốn tự truyện của Miley Cyrus viết với Hilary Liftin, do Disney-Hyperion Books xuất bản vào tháng 3 năm 2009.",Miles to Go,Hilary Liftin
"Đỏ và đen là tiểu thuyết đầu tiên của Stendhal, được xuất bản vào năm 1830.",Đỏ và đen,Stendhal
Đàn hương hình là một tiểu thuyết nổi tiếng của nhà văn Mạc Ngôn.,Đàn hương hình,Mạc Ngôn
"Chu thư hay còn gọi là Bắc Chu thư hoặc Hậu Chu thư là một sách lịch sử theo thể kỷ truyện trong 24 sách lịch sử Trung Quốc do Lệnh Hồ Đức Phân đời Đường làm chủ biên, cùng Sầm Văn Bản và Thôi Nhân Sư tham gia viết và biên soạn chung vào năm Trinh Quán thứ 3, đến năm Trinh Quán thứ 10 thì hoàn thành.",Chu thư,Lệnh Hồ Đức Phân
Tân Ngũ Đại sử là một sách lịch sử theo thể kỷ truyện trong 24 sách lịch sử Trung Quốc do Âu Dương Tu thời Bắc Tống biên soạn.,Tân Ngũ Đại sử,Âu Dương Tu
Án mạng đêm giáng sinh là một tiểu thuyết hình sự của nhà văn Agatha Christie được nhà sách Collins Crime Club xuất bản lần đầu tại Anh ngày 19 tháng 12 năm 1938 và được đăng ký bản quyền năm 1939.,Án mạng đêm giáng sinh,Agatha Christie
"Những cuộc phiêu lưu của Tom Sawyer là một quyển tiểu thuyết được nhà văn Mark Twain viết với bút pháp độc đáo, miêu tả tâm lý, cử chỉ, hành động của một chú bé sống tại một ngôi làng nghèo bên sông Mississippi.",Những cuộc phiêu lưu của Tom Sawyer,Mark Twain
A Wind in the Door là một cuốn tiểu thuyết khoa học viễn tưởng dành cho thanh thiếu niên do Madeleine L'Engle sáng tác.,A Wind in the Door,Madeleine L'Engle
Lý trí và Tình cảm là một tiểu thuyết của nhà văn Anh Jane Austen.,Lý trí và tình cảm,Jane Austen
"Liêu Trai chí dị, với ý nghĩa là những chuyện quái dị chép ở căn nhà tạm, là tập truyện ngắn gồm 431 thiên, ra đời vào đầu đời nhà Thanh của nhà văn Trung Quốc Bồ Tùng Linh.",Liêu trai chí dị,Bồ Tùng Linh
"Những kẻ thiện tâm là tên tiếng Việt của cuốn tiểu thuyết viết bằng tiếng Pháp ""Les Bienveillantes"" của nhà văn Mỹ Jonathan Littell.",Những kẻ thiện tâm,Jonathan Littell
Anne tóc đỏ dưới Chái nhà xanh là tiểu thuyết đầu tay của nhà văn người Canada Lucy Maud Montgomery và tập đầu của serie loạt truyện gồm 8 tập.,Anne tóc đỏ dưới chái nhà xanh,Lucy Maud Montgomery
"Nhật ký trong tù là tập thơ chữ Hán gồm 133 bài theo thể Đường luật do Hồ Chí Minh sáng tác trong thời gian bị chính quyền Tưởng Giới Thạch bắt giam ở Quảng Tây, Trung Quốc, từ ngày 29 tháng 8 năm 1942 đến ngày 10 tháng 9 năm 1943.",Nhật ký trong tù,Hồ Chí Minh
"Vân Trung Ca, là một cuốn tiểu thuyết của nhà văn Trung Quốc Đồng Hoa được xuất bản vào năm 2007 bởi nhà xuất bản Nhà văn.",Vân trung ca,Đồng Hoa
"La Belle Dame sans Merci – là một bài ballad của nhà thơ lãng mạn Anh, John Keats.",La Belle Dame sans Merci,John Keats
"Đặt cược sinh mạng, hay còn dịch là Trò chơi Quillan, là cuốn chuyện thứ bảy trong bộ chuyện Pendragon của tác giả D. J. MacHale, những diễn biến xảy ra trên cuốn truyện này diễn biến tiếp theo của cuốn Những dòng sông Zadaa.",Đặt cược sinh mạng,D. J. MacHale
]Đường công danh của Nikodem Dyzma là một cuốn tiểu thuyết ra đời và bán chạy nhất năm 1932 của nhà văn Ba Lan Tadeusz Dołęga-Mostowicz.,Đường công danh của Nikodem Dyzma,Tadeusz Dołęga-Mostowicz
Ly hương tìm quá khứ là cuốn thứ tám trong bộ truyện Pendragon của tác giả D. J. MacHale.,Ly hương tìm quá khứ,D. J. MacHale
"Cái mặt không chơi được là một truyện ngắn khá nổi tiếng của Nam Cao, được viết trong giai đoạn sung sức nhất của nhà văn.",Cái mặt không chơi được,Nam Cao
Tiếng gọi nơi hoang dã là một tiểu thuyết của nhà văn Mỹ Jack London.,Tiếng gọi nơi hoang dã,Jack London
Vợ nhặt là một tác phẩm văn học của nhà văn Kim Lân viết về thời kỳ xảy ra nạn đói năm 1945.,Vợ nhặt,Kim Lân
"Cây đàn Mandolin của Đại úy Corelli, xuất bản tại Mỹ với tên Cây đàn Mandolin của Corelli, xuất bản năm 1994 bởi Louis de Bernières, câu chuyện diễn ra tại đảo Cephalonia thuộc Hy Lạp trong thời gian chiếm đóng của quân đội Đức và Ý trong chiến tranh thế giới thứ 2.",Cây đàn Mandolin của Đại úy Corelli,Louis de Bernières
"Ngàn mặt trời rực rỡ là tiểu thuyết thứ hai phát hành năm 2007 của nhà văn Khaled Hosseini, một người Mĩ gốc Afghanistan.",Ngàn mặt trời rực rỡ,Khaled Hosseini
Garfield là một bộ truyện tranh được nghiệp đoàn bảo hộ phát hành hàng ngày của tác giả Jim Davis.,Garfield,Jim Davis
Con cáo và chùm nho là truyện ngụ ngôn của Aesop.,Con cáo và chùm nho,Aesop
Điểm dối lừa là một tiểu thuyết khoa học giả tưởng do nhà văn Mỹ Dan Brown viết.,Điểm dối lừa,Dan Brown
"Laudato si' là một thông điệp của Giáo hoàng Phanxicô, trong đó ông phê bình chủ nghĩa tiêu thụ và việc phát triển vô trách nhiệm, kêu gọi ""toàn cầu hành động nhanh chóng và thống nhất"" để chống suy thoái môi trường và biến đổi khí hậu.",Laudato si',Giáo hoàng Phanxicô
Bài thơ về tiểu đội xe không kính là bài thơ của tác giả Phạm Tiến Duật.,Bài thơ về tiểu đội xe không kính,Phạm Tiến Duật
Aeneis là sử thi tiếng Latinh do Vergilius sáng tác vào giữa năm 29 TCN và năm 19 TCN.,Aeneis,Vergilius
Oyasumi Punpun là một manga Nhật Bản do Asano Inio viết và vẽ minh họa; xuất bản từ giữa tháng 3 năm 2007 đến tháng 11 năm 2013.,Oyasumi Punpun,Asano Inio
"Hãy kể giấc mơ của em là một tiểu thuyết của nhà văn Mỹ Sidney Sheldon, xuất bản lần đầu tiên năm 1998.",Hãy kể giấc mơ của em,Sidney Sheldon
Nếu một đêm đông có người lữ khách là một cuốn tiểu thuyết của nhà văn người Ý Italo Calvino xuất bản năm 1979.,Nếu một đêm đông có người lữ khách,Italo Calvino
"Cuộc đời các danh nhân Hy Lạp và La Mã, còn gọi là Tiểu sử song đôi là một tác phẩm nổi tiếng của Plutarchus viết về cuộc đời các nhân việt kiệt xuất thời Hy Lạp - La Mã cổ đại.",Cuộc đời các danh nhân Hy Lạp và La Mã,Plutarchus
"Chuyện xứ Lang Biang là một bộ truyện dài gồm 4 phần của nhà văn viết cho thiếu nhi nổi tiếng Nguyễn Nhật Ánh, được xuất bản những tập đầu tiên vào năm 2004 và kết thúc vào tháng 8 năm 2006.",Chuyện xứ Lang Biang,Nguyễn Nhật Ánh
"Toaru Kagaku no Railgun là loạt manga do Kamachi Kazuma thực hiện và Fuyukawa Motoi minh họa, đây là ngoại truyện của loạt tiểu thuyết ""Toaru Majutsu no Index"".",Toaru Kagaku no Railgun,Kamachi Kazuma
"Tùy thư là một sách lịch sử theo thể kỷ truyện trong 24 sách lịch sử Trung Quốc do nhóm sử quan Ngụy Trưng đời Đường biên soạn, thời Tùy Văn Đế, Vương Thiệu đã soạn thành sách ""Tùy thư"" gồm 80 quyển.",Tùy thư,Ngụy Trưng
Bà chúa Tuyết hay còn gọi là Nữ chúa Tuyết là một câu chuyện cổ tích đặc sắc của nhà văn người Đan Mạch Hans Christian Andersen.,Bà chúa Tuyết,Hans Christian Andersen
"Liêu sử là một bộ sách lịch sử trong 24 bộ sách sử của Trung Quốc, tổng cộng có 116 quyển kể lại các sự kiện lịch sử từ khi ra đời đến khi diệt vong của nhà Liêu do Thoát Thoát làm tổng tài chủ trì việc biên soạn và thu thập sử liệu, đảm nhiệm việc biên soạn chung với ông là 4 người gồm Liêm Huệ Sơn Hải Nha, Vương Nghi, Từ Bính, Trần Dịch Tăng, ngoài ra Thoát Thoát còn tham khảo các sách sử khác như """"Khiết Đan truyện"""" trong cuốn """"Khiết Đan quốc chí"""" và """"Tư trị thông giám"""", """"Liêu sử"""" của Trần Đại Nhiệm, """"Thực lục"""" của Gia Luật Nghiễm.",Liêu sử,Thoát Thoát
Touch là một bộ manga về bóng chày trung học của Adachi Mitsuru.,Touch,Adachi Mitsuru
O du kích nhỏ hay Giải giặc lái Mỹ là một tác phẩm nhiếp ảnh Việt Nam của nghệ sĩ Phan Thoan thực hiện vào ngày 21 tháng 9 năm 1965.,O du kích nhỏ,Phan Thoan
"The Pilgrim's Progress from This World, to That Which Is to Come là một phúng dụ Kitô giáo được John Bunyan sáng tác năm 1678.",The Pilgrim's Progress,John Bunyan
"Các anh hùng của đỉnh Olympus là bộ tiểu thuyết giả tưởng dành cho thiếu niên gồm năm tập của tác giả Rick Riordan, và là phần tiếp theo của ""Percy Jackson và các vị thần trên đỉnh Olympia"".",Các anh hùng của đỉnh Olympus,Rick Riordan
Candy Candy là tiểu thuyết của nữ tác giả Kyoko Mizuki.,Candy Candy,Kyoko Mizuki
Truyện Phòng trọ ba người là một tác phẩm của nhà văn Nguyễn Nhật Ánh sáng tác vào năm 1990.,Phòng trọ ba người,Nguyễn Nhật Ánh
"Uyên ương đao là một tiểu thuyết võ hiệp của Kim Dung, xuất bản lần đầu vào năm 1961 trên ""Minh Báo"".",Uyên ương đao,Kim Dung
"Đây thôn Vĩ Dạ là bài thơ do thi sĩ Hàn Mặc Tử sáng tác vào khoảng năm 1938, in lần đầu trong tập ""Thơ Điên"".",Đây thôn Vĩ Dạ,Hàn Mặc Tử
"Thư kiếm ân cừu lục là một tiểu thuyết võ hiệp của nhà văn Kim Dung, được đăng trên ""Tân vãn báo"" của Hồng Kông từ ngày 8 tháng 2 năm 1955 đến ngày 5 tháng 9 năm 1956.",Thư kiếm ân cừu lục,Kim Dung
"Chú Thoòng hay Lão Phu Tử là tên một bộ truyện tranh hài hước của họa sĩ Vương Trạch, người Hồng Kông.",Chú Thoòng,Vương Trạch
